"","Cow","TRT","day","sday","FOO","Egroup","AgeatEnroll","MotionIndex","Steps","LyingTime","LyingBouts","StandingTime"
"176",60,"B+N",2,2,"MAD",2,20.95,926,137,20.1011111111111,22,3.89888888888889
"177",60,"B+N",3,2,"MAD",2,20.95,453,68,12.6844444444444,13,2.81555555555556
"178",61,"BO",1,2,"CAD",2,29.53,1710,313,21.5538888888889,16,2.44611111111111
"179",61,"BO",2,2,"CAD",2,29.53,2282,409,20.0211111111111,23,3.97888888888889
"180",61,"BO",3,2,"CAD",2,29.53,696,116,14.4597222222222,9,1.04027777777778
"181",62,"B+N",1,2,"MAD",2,21.65,2427,315,17.8830555555556,18,6.11694444444444
"182",62,"B+N",2,2,"MAD",2,21.65,2743,384,15.8869444444444,29,8.11305555555556
"183",62,"B+N",3,2,"MAD",2,21.65,724,83,13.4183333333333,11,1.83166666666667
"184",63,"LIDO",1,2,"MAD",2,28.2,2119,250,21.3816666666667,25,2.61833333333333
"185",63,"LIDO",2,2,"MAD",2,28.2,1632,255,19.4133333333333,26,4.58666666666667
"186",63,"LIDO",3,2,"MAD",2,28.2,1015,164,12.8511111111111,15,2.39888888888889
"187",64,"LIDO",1,2,"MAD",2,23.17,1359,153,18.8702777777778,32,5.12972222222222
"188",64,"LIDO",2,2,"MAD",2,23.17,1605,241,13.6438888888889,22,10.3561111111111
"189",64,"LIDO",3,2,"MAD",2,23.17,369,40,12.0841666666667,11,1.41583333333333
"190",65,"BO",1,3,"CAD",3,30.9,2224,331,18.8897222222222,14,5.11027777777778
"191",65,"BO",2,3,"CAD",3,30.9,1770,247,16.2788888888889,8,7.72111111111111
"192",65,"BO",3,3,"CAD",3,30.9,710,86,14.3883333333333,5,2.86166666666667
"193",66,"B+N",1,3,"CAD",3,15.5,1067,144,22.8347222222222,10,1.16527777777778
"194",66,"B+N",2,3,"CAD",3,15.5,1041,167,20.6858333333333,19,3.31416666666667
"195",66,"B+N",3,3,"CAD",3,15.5,623,104,14.6030555555556,15,2.39694444444444
"196",67,"B+N",1,3,"CAD",3,29.45,1897,239,22.6416666666667,27,1.35833333333333
"197",67,"B+N",2,3,"CAD",3,29.45,2468,412,20.3066666666667,23,3.69333333333333
"198",67,"B+N",3,3,"CAD",3,29.45,1404,237,15.5186111111111,12,1.48138888888889
"199",68,"BO",1,3,"CAD",3,28.02,1521,166,22.7597222222222,27,1.24027777777778
"200",68,"BO",2,3,"CAD",3,28.02,888,119,21.6688888888889,22,2.33111111111111
"201",68,"BO",3,3,"CAD",3,28.02,660,97,14.9513888888889,19,2.04861111111111
"202",69,"LIDO",1,3,"CAD",3,34.17,1720,193,22.2122222222222,21,1.78777777777778
"203",69,"LIDO",2,3,"CAD",3,34.17,1193,136,19.8633333333333,20,4.13666666666667
"204",69,"LIDO",3,3,"CAD",3,34.17,904,92,15.2455555555556,16,1.75444444444444
"205",70,"LIDO",1,3,"MAD",3,32.57,1074,116,21.9972222222222,9,2.00277777777778
