"","Cow","TRT","hour","sday","MotionIndex","Steps","LyingTime","LyingBouts","StandingTime"
"355",14,"BO",35,1,119,22,45.6666666666667,1,14.3333333333333
"356",14,"BO",36,1,73,14,54.5666666666667,1,5.43333333333333
"357",14,"BO",37,1,60,7,53.8833333333333,1,6.11666666666667
"358",14,"BO",38,1,65,9,54.5333333333333,1,5.46666666666667
"359",14,"BO",39,1,78,16,46.25,1,13.75
"360",14,"BO",40,1,149,26,46.9333333333333,2,13.0666666666667
"361",14,"BO",41,1,162,46,33.1666666666667,1,26.8333333333333
"362",14,"BO",42,1,410,86,7.05,0,52.95
"363",14,"BO",43,1,0,0,60,0,0
"364",14,"BO",44,1,2,0,60,0,0
"365",14,"BO",45,1,29,1,56.9166666666667,1,3.08333333333333
"366",14,"BO",46,1,322,73,17.2,1,42.8
"367",14,"BO",47,1,196,42,32.15,1,27.85
"368",14,"BO",48,1,521,99,0,0,60
"369",14,"BO",49,1,129,26,44.3333333333333,0,15.6666666666667
"370",14,"BO",50,1,49,7,48.9666666666667,1,11.0333333333333
"371",14,"BO",51,1,0,0,60,0,0
"372",14,"BO",52,1,0,0,60,0,0
"373",14,"BO",53,1,21,0,54.6333333333333,1,5.36666666666667
"374",14,"BO",54,1,1,0,60,0,0
"375",14,"BO",55,1,2,0,60,0,0
"376",14,"BO",56,1,21,4,55.8166666666667,1,4.18333333333333
"377",14,"BO",57,1,0,0,60,0,0
"378",14,"BO",58,1,38,4,50.8333333333333,1,9.16666666666667
"379",14,"BO",59,1,0,0,60,0,0
"380",14,"BO",60,1,24,3,50.3166666666667,1,9.68333333333333
"381",14,"BO",61,1,2,0,60,0,0
"382",14,"BO",62,1,51,6,50,1,10
"383",14,"BO",63,1,202,33,24.55,3,35.45
"384",14,"BO",64,1,245,41,4.26666666666667,1,25.7333333333333
"385",15,"LIDO",1,1,79,7,59.75,2,0.25
"386",15,"LIDO",2,1,60,2,60,0,0
"387",15,"LIDO",3,1,7,0,60,0,0
"388",15,"LIDO",4,1,6,0,60,0,0
"389",15,"LIDO",5,1,10,0,60,0,0
"390",15,"LIDO",6,1,9,0,60,0,0
"391",15,"LIDO",7,1,44,2,56.4166666666667,1,3.58333333333333
"392",15,"LIDO",8,1,2,0,60,0,0
"393",15,"LIDO",9,1,4,0,60,0,0
"394",15,"LIDO",10,1,53,12,56,1,4
"395",15,"LIDO",11,1,31,3,52.8333333333333,1,7.16666666666667
"396",15,"LIDO",12,1,36,6,53.7666666666667,2,6.23333333333333
"397",15,"LIDO",13,1,53,4,53.6333333333333,0,6.36666666666667
"398",15,"LIDO",14,1,8,0,60,0,0
"399",15,"LIDO",15,1,163,29,46.9166666666667,2,13.0833333333333
"400",15,"LIDO",16,1,308,52,42.1166666666667,3,17.8833333333333
"401",15,"LIDO",17,1,237,43,37.6833333333333,2,22.3166666666667
"402",15,"LIDO",18,1,106,13,50.85,6,9.15
"403",15,"LIDO",19,1,212,34,40.8833333333333,4,19.1166666666667
"404",15,"LIDO",20,1,94,12,60,0,0
"405",15,"LIDO",21,1,44,4,60,0,0
"406",15,"LIDO",22,1,54,5,60,0,0
"407",15,"LIDO",23,1,250,44,33.8666666666667,1,26.1333333333333
"408",15,"LIDO",24,1,97,14,48.3333333333333,1,11.6666666666667
"409",15,"LIDO",25,1,23,3,56.6,1,3.4
"410",15,"LIDO",26,1,82,11,47.3,1,12.7
"411",15,"LIDO",27,1,27,3,55.75,1,4.25
"412",15,"LIDO",28,1,39,7,55.8666666666667,1,4.13333333333333
"413",15,"LIDO",29,1,0,0,60,0,0
"414",15,"LIDO",30,1,107,14,49.9166666666667,2,10.0833333333333
"415",15,"LIDO",31,1,41,5,54.8,1,5.2
"416",15,"LIDO",32,1,49,6,55.75,1,4.25
"417",15,"LIDO",33,1,0,0,60,0,0
"418",15,"LIDO",34,1,27,1,54.9,2,5.1
"419",15,"LIDO",35,1,14,2,58.0833333333333,0,1.91666666666667
"420",15,"LIDO",36,1,23,5,55.75,1,4.25
"421",15,"LIDO",37,1,31,2,56.1333333333333,1,3.86666666666667
"422",15,"LIDO",38,1,26,3,55.3666666666667,1,4.63333333333333
"423",15,"LIDO",39,1,41,8,50.45,2,9.55
"424",15,"LIDO",40,1,2,0,60,0,0
"425",15,"LIDO",41,1,255,46,31.55,2,28.45
"426",15,"LIDO",42,1,313,59,11.9,1,48.1
"427",15,"LIDO",43,1,1,0,60,0,0
"428",15,"LIDO",44,1,8,1,56.95,1,3.05
"429",15,"LIDO",45,1,10,0,57.9,0,2.1
"430",15,"LIDO",46,1,96,17,44.05,1,15.95
"431",15,"LIDO",47,1,259,41,32.35,2,27.65
"432",15,"LIDO",48,1,222,43,32.1666666666667,2,27.8333333333333
