,Cow,TRT,day,sday,MotionIndex,Steps,LyingTime,LyingBouts,StandingTime,rm?,rmfr
256,88,LIDO,1,3,839,83,22.55,15,1.45,,
257,88,LIDO,2,3,906,164,21.35972222,14,2.640277778,,
258,88,LIDO,3,3,455,53,14.99722222,8,1.252777778,,
259,89,B+N,1,3,2675,400,21.50694444,26,2.493055556,,
260,89,B+N,2,3,1511,247,20.47833333,23,3.521666667,,
261,89,B+N,3,3,724,108,12.35638889,14,1.893611111,,
265,90,BO,1,3,2470,175,22.78333333,19,1.216666667,,
266,90,BO,2,3,1268,179,21.55361111,28,2.446388889,,
267,90,BO,3,3,671,98,14.57555556,19,1.674444444,,
268,91,LIDO,1,3,1915,189,21.99083333,12,2.009166667,,
269,91,LIDO,2,3,1108,136,19.01027778,10,4.989722222,,
270,91,LIDO,3,3,546,77,13.83,6,2.42,,
271,92,BO,1,3,1703,304,20.17166667,21,3.828333333,,
272,92,BO,2,3,1470,277,19.44027778,18,4.559722222,,
273,92,BO,3,3,448,69,14.22888889,8,1.771111111,,
274,93,B+N,1,3,849,106,22.97944444,10,1.020555556,,
275,93,B+N,2,3,1237,195,19.86888889,28,4.131111111,,
276,93,B+N,3,3,502,70,13.9325,13,2.3175,,
277,94,LIDO,1,3,2347,362,19.35972222,31,4.640277778,,
278,94,LIDO,2,3,579,86,20.95138889,16,3.048611111,,
279,94,LIDO,3,3,371,41,13.6725,16,2.5775,,
