"","Study ID","CalfID","TRT","FOO","Egroup","AgeatEnroll","BWKg","Btime","Bdate","Edate","Etime","TP","HbpremgdL","HbpostmgdL","change","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_DIED1","Remark_DIED1","BIRTH","ENROLL","dfeP1","dbtwP12","dbtwP23","dfeP2","dfeP3","dfeD1","dfeD2","dbtwD12","dfeDIED","PN1a","PN2","PN3","DIA1","DIA2","DIED","PN2a","Date_PN1a","Date_PN2a"
"35",25,431636,"B+N","MAD",1,20.55,35.9,19:23:00,"6/12/2025","6/13/2025",15:56:00,6.9,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"36",1,431637,"LIDO","MAD",1,16.42,36.8,19:50:00,"6/12/2025","6/13/2025",12:15:00,6.6,13,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"37",8,431639,"B+N","MAD",1,17.08,45.9,20:30:00,"6/12/2025","6/13/2025",13:35:00,6.9,12,12,0,2025-10-05,"RES6X100",2025-10-05,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,114,0,NA,114,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-10-05,NA
"38",10,431642,"BO","MAD",1,14.97,51.4,22:52:00,"6/12/2025","6/13/2025",13:50:00,7,14,11,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"39",34,431997,"LIDO","MAD",2,30.35,52.7,06:50:00,"6/19/2025","6/20/2025",13:11:00,7,13,13,0,2025-08-15,"RES6X100",2025-08-20,"EXCE-1.5CC",NA,NA,2025-06-29,"ENRO+ELECT",NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,56,5,NA,61,NA,9,NA,NA,NA,1,1,0,1,0,0,0,2025-08-15,NA
"40",40,431998,"LIDO","MAD",2,30.38,44.1,07:08:00,"6/19/2025","6/20/2025",13:31:00,6.6,14,13,-1,2025-08-29,"RES6X100",2025-09-03,"EXCE-1.5CC",2025-09-21,"RES6X100",2025-06-20,"BISMUSOL ORAL",2025-06-21,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,70,5,18,75,93,0,1,1,NA,1,1,1,1,1,0,1,2025-08-29,2025-09-21
"41",31,432001,"B+N","MAD",2,26.82,40.9,10:10:00,"6/19/2025","6/20/2025",12:59:00,5.6,13,11,-2,2025-10-04,"RES6X100",NA,NA,NA,NA,2025-06-20,"BISMUSOL ORAL",2025-06-21,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,106,NA,NA,NA,NA,0,1,1,NA,1,0,0,1,1,0,0,2025-10-04,NA
"42",37,432006,"B+N","MAD",2,24.35,40.9,13:00:00,"6/19/2025","6/20/2025",13:21:00,7.6,14,12,-2,2025-07-26,"RES6X100",2025-07-31,"EXCE-1.5CC",2025-09-04,"RES6X100",2025-06-20,"BISMUSOL ORAL",2025-06-21,"BISMUSOL ORAL",NA,NA,NA,NA,2025-09-17,"INFECTION",2025-06-19,2025-06-20,36,5,35,41,76,0,1,1,89,1,1,1,1,1,1,1,2025-07-26,2025-09-04
"43",45,432007,"LIDO","MAD",2,24.8,50,13:00:00,"6/19/2025","6/20/2025",13:48:00,6.6,13,13,0,2025-08-15,"RES6X100",2025-08-20,"EXCE-1.5CC",2025-10-06,"RES6X100",2025-06-20,"BISMUSOL ORAL",2025-06-21,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,56,5,47,61,108,0,1,1,NA,1,1,1,1,1,0,1,2025-08-15,2025-10-06
"44",44,432008,"BO","MAD",2,24.6,44.1,13:10:00,"6/19/2025","6/20/2025",13:46:00,6.8,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
